"","query","baseMean","log2FoldChange","lfcSE","pvalue","padj","seed_ortholog","evalue","score","eggNOG_OGs","max_annot_lvl","COG_category","Description","Preferred_name","GOs","EC","KEGG_ko","KEGG_Pathway","KEGG_Module","KEGG_Reaction","KEGG_rclass","BRITE","KEGG_TC","CAZy","BiGG_Reaction","PFAMs"
"418","Pocillopora_acuta_HIv2___RNAseq.g3492.t1",120.360259548669,11.5470574659084,3.43457649373502,5.12270362649917e-09,1.63564647359126e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Pocillopora_acuta_HIv2___RNAseq.g16525.t1",160.960115596749,9.44327833451652,2.47408844442266,5.13781685981339e-09,1.63685865771676e-07,"45351.EDO42910",1.44e-45,158,"COG4642@1|root,KOG0231@2759|Eukaryota,38F7V@33154|Opisthokonta,3BFPB@33208|Metazoa","33208|Metazoa","S","axoneme assembly","RSPH1","GO:0000003,GO:0000226,GO:0000228,GO:0000793,GO:0000794,GO:0001520,GO:0001578,GO:0003006,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0005819,GO:0005829,GO:0005856,GO:0005929,GO:0006996,GO:0007010,GO:0007017,GO:0007276,GO:0007281,GO:0007283,GO:0007286,GO:0008150,GO:0009987,GO:0015630,GO:0016043,GO:0019953,GO:0022412,GO:0022414,GO:0022607,GO:0030030,GO:0030031,GO:0030154,GO:0031514,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032504,GO:0035082,GO:0036126,GO:0042995,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044441,GO:0044444,GO:0044446,GO:0044463,GO:0044464,GO:0044703,GO:0044782,GO:0048232,GO:0048468,GO:0048515,GO:0048609,GO:0048856,GO:0048869,GO:0051704,GO:0060271,GO:0070013,GO:0070925,GO:0071840,GO:0072687,GO:0097223,GO:0097729,GO:0099080,GO:0099081,GO:0099512,GO:0099513,GO:0120025,GO:0120031,GO:0120036,GO:0120038","-","ko:K19755","-","-","-","-","ko00000,ko04812","-","-","-","MORN"
"420","Pocillopora_acuta_HIv2___RNAseq.673_t",1356.35628188467,-7.99476356187196,3.48214811860989,5.23045502891535e-09,1.66270992391718e-07,"45351.EDO37179",1.62e-68,219,"KOG4026@1|root,KOG4026@2759|Eukaryota,390VV@33154|Opisthokonta,3BI10@33208|Metazoa","33208|Metazoa","U","detection of mechanical stimulus involved in sensory perception of sound","LHFPL5","GO:0000902,GO:0000904,GO:0002064,GO:0002065,GO:0002066,GO:0002093,GO:0003008,GO:0005575,GO:0005623,GO:0005886,GO:0007275,GO:0007399,GO:0007423,GO:0007600,GO:0007605,GO:0008150,GO:0008544,GO:0009581,GO:0009582,GO:0009605,GO:0009612,GO:0009628,GO:0009653,GO:0009790,GO:0009887,GO:0009888,GO:0009913,GO:0009987,GO:0016020,GO:0016043,GO:0016324,GO:0022008,GO:0030030,GO:0030154,GO:0030182,GO:0030855,GO:0031175,GO:0032420,GO:0032421,GO:0032426,GO:0032501,GO:0032502,GO:0032989,GO:0035315,GO:0042471,GO:0042472,GO:0042490,GO:0042491,GO:0042995,GO:0043005,GO:0043226,GO:0043583,GO:0044422,GO:0044425,GO:0044459,GO:0044463,GO:0044464,GO:0045177,GO:0048468,GO:0048513,GO:0048562,GO:0048568,GO:0048598,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048839,GO:0048856,GO:0048869,GO:0050877,GO:0050896,GO:0050906,GO:0050910,GO:0050954,GO:0050974,GO:0050982,GO:0051606,GO:0060088,GO:0060113,GO:0060117,GO:0060119,GO:0060122,GO:0060429,GO:0060563,GO:0071840,GO:0071944,GO:0090596,GO:0097458,GO:0098590,GO:0098858,GO:0098862,GO:0120025,GO:0120036,GO:0120038","-","-","-","-","-","-","-","-","-","-","L_HMGIC_fpl"
"421","Pocillopora_acuta_HIv2___RNAseq.g16193.t1",298.365124692412,10.2421959744512,3.02928498285637,5.48409065077709e-09,1.73951506957982e-07,"6500.XP_005112882.1",4.07e-73,258,"COG0457@1|root,COG2802@1|root,KOG0548@2759|Eukaryota,KOG4159@2759|Eukaryota,38F1Y@33154|Opisthokonta,3BEYD@33208|Metazoa,3CT7S@33213|Bilateria","33208|Metazoa","O","LON peptidase N-terminal domain and RING finger","LONRF3","GO:0000209,GO:0003674,GO:0003824,GO:0004842,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0009893,GO:0009894,GO:0009896,GO:0009987,GO:0010604,GO:0016567,GO:0016740,GO:0019222,GO:0019538,GO:0019787,GO:0019899,GO:0030162,GO:0031323,GO:0031325,GO:0031329,GO:0031331,GO:0031624,GO:0032268,GO:0032270,GO:0032434,GO:0032436,GO:0032446,GO:0036211,GO:0042176,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044390,GO:0044424,GO:0044444,GO:0044464,GO:0045732,GO:0045862,GO:0046872,GO:0046914,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0060255,GO:0061136,GO:0061630,GO:0061659,GO:0065007,GO:0070647,GO:0071704,GO:0080090,GO:0140096,GO:1901564,GO:1901800,GO:1903050,GO:1903052,GO:1903362,GO:1903364,GO:2000058,GO:2000060","-","-","-","-","-","-","-","-","-","-","LON_substr_bdg,zf-C3HC4_2,zf-C3HC4_3,zf-C3HC4_4,zf-RING_UBOX"
"422","Pocillopora_acuta_HIv2___RNAseq.g13533.t1",410.709756185949,10.4101288225619,3.19972313203827,5.51805341575353e-09,1.74645786882843e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Pocillopora_acuta_HIv2___RNAseq.g18966.t1",158.819416209824,11.903979094868,3.60449731401537,5.84517252092795e-09,1.8379255509283e-07,"45351.EDO37523",1.65e-173,501,"COG2126@1|root,KOG1545@2759|Eukaryota,39PDF@33154|Opisthokonta","33154|Opisthokonta","P","BTB/POZ domain","-","-","-","-","-","-","-","-","-","-","-","-","BTB_2,Ion_trans"
"424","Pocillopora_acuta_HIv2___RNAseq.g2199.t1",169.962640449185,11.7938883965972,3.57093021911008,5.93434619554998e-09,1.86109962809701e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","Pocillopora_acuta_HIv2___RNAseq.g16715.t1",164499.295892458,-3.51677493485201,0.67520375869984,5.94460749571917e-09,1.86109962809701e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","Pocillopora_acuta_HIv2___RNAseq.g15988.t1",402.615652985082,10.0033248562199,3.03660664452885,6.08385669929639e-09,1.90058106476507e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Pocillopora_acuta_HIv2___RNAseq.g3500.t1",395.143572980361,9.81981552415582,2.9756858536418,6.11346101167791e-09,1.90193714787838e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Pocillopora_acuta_HIv2___RNAseq.g9811.t1",280.135989197837,9.94524424283772,2.90936695438978,6.19142705416905e-09,1.92173392513951e-07,"45351.EDO34705",1.02e-79,253,"KOG3656@1|root,KOG3656@2759|Eukaryota","45351.EDO34705|-","O","G-protein coupled receptor activity","-","-","-","-","-","-","-","-","-","-","-","-","-"
"429","Pocillopora_acuta_HIv2___RNAseq.g8523.t1",133.456897571417,11.7992715715928,3.58303260481524,6.21835885174262e-09,1.92596022337485e-07,"27923.ML460822a-PA",3.74e-36,149,"KOG4475@1|root,KOG4475@2759|Eukaryota","2759|Eukaryota","U","coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway","-","-","-","-","-","-","-","-","-","-","-","-","TSP_1"
"430","Pocillopora_acuta_HIv2___RNAseq.g27399.t1",695.194086628675,10.4088508837032,3.34893162711642,6.52420444723569e-09,2.00864590402327e-07,"7897.ENSLACP00000000315",8.92e-18,89.7,"28MFV@1|root,2QTZ9@2759|Eukaryota,38HFS@33154|Opisthokonta","33154|Opisthokonta","S","peptidase activator activity","PCOLCE","GO:0003674,GO:0005488,GO:0005518,GO:0005539,GO:0005575,GO:0005576,GO:0006508,GO:0006807,GO:0007275,GO:0008047,GO:0008150,GO:0008152,GO:0008201,GO:0009893,GO:0009987,GO:0010033,GO:0010604,GO:0010952,GO:0016504,GO:0019222,GO:0019538,GO:0030162,GO:0030234,GO:0031323,GO:0031325,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0034097,GO:0042221,GO:0043085,GO:0043167,GO:0043168,GO:0043170,GO:0044093,GO:0044238,GO:0044877,GO:0045862,GO:0048518,GO:0048522,GO:0048856,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0051336,GO:0051345,GO:0051716,GO:0052547,GO:0060255,GO:0061134,GO:0065007,GO:0065009,GO:0070887,GO:0071310,GO:0071345,GO:0071704,GO:0080090,GO:0097367,GO:0098772,GO:1901564,GO:1901681,GO:1990823,GO:1990830","-","-","-","-","-","-","-","-","-","-","CUB,NTR"
"431","Pocillopora_acuta_HIv2___RNAseq.g19083.t1",2772.76454279608,-7.53033162206631,2.26835769838629,6.5927869797614e-09,2.02458749204393e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","Pocillopora_acuta_HIv2___RNAseq.g7626.t1",648.380386902381,7.43677800140771,3.47414464666673,6.6978517621737e-09,2.05249423491696e-07,"45351.EDO31780",6.63e-16,81.3,"COG4886@1|root,KOG4641@2759|Eukaryota","2759|Eukaryota","KLT","MyD88-dependent toll-like receptor signaling pathway","-","-","-","ko:K18808","-","-","-","-","ko00000","-","-","-","LRR_8,TIR,TIR_2"
"433","Pocillopora_acuta_HIv2___RNAseq.g13270.t1",193.255076777531,8.78361251953714,2.21048387200277,7.04515825677372e-09,2.15435875319186e-07,"45351.EDO36002",2.23e-75,254,"28K70@1|root,2QSMJ@2759|Eukaryota,38Y97@33154|Opisthokonta,3BMWS@33208|Metazoa","33208|Metazoa","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"434","Pocillopora_acuta_HIv2___RNAseq.g8086.t1",748.221244176246,10.2828134945078,3.37805260920869,7.1272682947707e-09,2.17486178457194e-07,"88036.EFJ17269",3.03e-104,368,"COG1112@1|root,KOG1807@2759|Eukaryota,389T7@33090|Viridiplantae,3GYWR@35493|Streptophyta","2759|Eukaryota","L","AAA domain","ZNFX1","GO:0000981,GO:0003674,GO:0003700,GO:0003824,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006325,GO:0006342,GO:0006355,GO:0006357,GO:0006996,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016043,GO:0016458,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0019219,GO:0019222,GO:0030702,GO:0030880,GO:0031047,GO:0031048,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031379,GO:0031380,GO:0032991,GO:0040029,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045814,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051276,GO:0060255,GO:0061695,GO:0065007,GO:0071840,GO:0080090,GO:0140110,GO:1902494,GO:1902679,GO:1903506,GO:1903507,GO:1990234,GO:2000112,GO:2000113,GO:2001141","3.6.4.13","ko:K11701,ko:K12862,ko:K21626","ko03040,map03040","M00353,M00355","-","-","ko00000,ko00001,ko00002,ko01000,ko03000,ko03036,ko03041,ko03400","-","-","-","AAA_11,AAA_12"
"435","Pocillopora_acuta_HIv2___TS.g19988.t1",141.406931162774,11.5040124844868,3.51596908731953,7.14227978202206e-09,2.17486178457194e-07,"45351.EDO39532",2.77e-236,684,"COG4805@1|root,2QUES@2759|Eukaryota,39R27@33154|Opisthokonta","33154|Opisthokonta","S","Bacterial protein of unknown function (DUF885)","-","-","-","-","-","-","-","-","-","-","-","-","DUF885"
"436","Pocillopora_acuta_HIv2___RNAseq.g26672.t1",145.888738484697,11.5912552658795,3.4793257860518,7.24035679025674e-09,2.2000949708881e-07,"45351.EDO33746",1.67e-200,568,"KOG3645@1|root,KOG3645@2759|Eukaryota,38BP2@33154|Opisthokonta,3BD2A@33208|Metazoa","33208|Metazoa","T","acetylcholine-gated cation-selective channel activity","-","-","-","ko:K04808","ko04080,ko04725,ko05033,map04080,map04725,map05033","-","-","-","ko00000,ko00001,ko04040","1.A.9.1","-","-","Neur_chan_LBD,Neur_chan_memb"
"437","Pocillopora_acuta_HIv2___TS.g3229.t1",1043.02960614867,-7.78648793664759,2.69414933785955,7.26633732098582e-09,2.20336065012031e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Pocillopora_acuta_HIv2___TS.g1516.t1",150.250077371187,9.01127856230663,2.36695796161086,7.38560031110545e-09,2.23483939120982e-07,"45351.EDO42424",3.22e-141,419,"KOG2871@1|root,KOG2871@2759|Eukaryota,38DQK@33154|Opisthokonta,3B93X@33208|Metazoa","33208|Metazoa","S","family with sequence similarity 188, member A","FAM188A","GO:0003674,GO:0003824,GO:0004180,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005654,GO:0006464,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008234,GO:0008238,GO:0009987,GO:0012505,GO:0016020,GO:0016579,GO:0016787,GO:0016807,GO:0019538,GO:0031090,GO:0031965,GO:0031967,GO:0031974,GO:0031975,GO:0031981,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0070004,GO:0070011,GO:0070013,GO:0070646,GO:0070647,GO:0071108,GO:0071704,GO:0101005,GO:0140096,GO:1901564,GO:1990380","-","-","-","-","-","-","-","-","-","-","DUF4205"
"439","Pocillopora_acuta_HIv2___RNAseq.g15141.t1",178.382300019555,12.0042174487723,3.7519328546521,7.60708950707844e-09,2.29705516973659e-07,"45351.EDO44881",4.92e-73,226,"COG1611@1|root,2QSR9@2759|Eukaryota,38GPR@33154|Opisthokonta,3BUR5@33208|Metazoa","33208|Metazoa","S","Possible lysine decarboxylase","-","-","-","-","-","-","-","-","-","-","-","-","Lysine_decarbox"
"440","Pocillopora_acuta_HIv2___RNAseq.g24018.t1",147.620403608054,-9.70153497844579,2.75152591705979,7.64370467748351e-09,2.3033030094817e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","Pocillopora_acuta_HIv2___RNAseq.g27413.t1",680.37379867378,10.7835948228793,3.38537838516793,7.85272294937471e-09,2.36136766610719e-07,"45351.EDO40478",1.27e-156,452,"KOG3644@1|root,KOG3644@2759|Eukaryota,38BM7@33154|Opisthokonta,3BA9E@33208|Metazoa","33208|Metazoa","T","extracellularly glycine-gated chloride channel activity","GluCl","GO:0001508,GO:0003008,GO:0003674,GO:0005215,GO:0005216,GO:0005230,GO:0005231,GO:0005234,GO:0005253,GO:0005254,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0006821,GO:0007154,GO:0007165,GO:0007166,GO:0007267,GO:0007268,GO:0007600,GO:0007606,GO:0007610,GO:0007626,GO:0008068,GO:0008144,GO:0008150,GO:0008509,GO:0009987,GO:0015075,GO:0015103,GO:0015108,GO:0015267,GO:0015276,GO:0015318,GO:0015698,GO:0016020,GO:0016021,GO:0016043,GO:0016595,GO:0016597,GO:0022607,GO:0022803,GO:0022834,GO:0022836,GO:0022838,GO:0022839,GO:0022857,GO:0023052,GO:0031224,GO:0031226,GO:0031406,GO:0031987,GO:0032501,GO:0034220,GO:0036094,GO:0040011,GO:0042221,GO:0042391,GO:0042493,GO:0042802,GO:0043051,GO:0043167,GO:0043168,GO:0043177,GO:0043933,GO:0044085,GO:0044425,GO:0044459,GO:0044464,GO:0050789,GO:0050794,GO:0050795,GO:0050877,GO:0050890,GO:0050893,GO:0050896,GO:0051179,GO:0051234,GO:0051259,GO:0051716,GO:0055085,GO:0060078,GO:0060079,GO:0060259,GO:0065003,GO:0065007,GO:0065008,GO:0071840,GO:0071944,GO:0098656,GO:0098660,GO:0098661,GO:0098916,GO:0099095,GO:0099536,GO:0099537,GO:0099565,GO:1902476,GO:1903998,GO:1905114","-","ko:K05193,ko:K05194,ko:K05195,ko:K05273","ko04080,map04080","-","-","-","ko00000,ko00001,ko04040,ko04131","1.A.9.3,1.A.9.4","-","-","Neur_chan_LBD,Neur_chan_memb"
"442","Pocillopora_acuta_HIv2___RNAseq.g9381.t1",374.196229111387,-9.82914883379292,3.26762234190971,7.89830293314742e-09,2.37014634076855e-07,"45351.EDO42587",1.29e-182,535,"COG0405@1|root,KOG2410@2759|Eukaryota,38EE0@33154|Opisthokonta,3B9HX@33208|Metazoa","33208|Metazoa","E","glutathione hydrolase activity","-","-","2.3.2.2,3.4.19.13,3.4.19.14","ko:K18592","ko00430,ko00460,ko00480,ko00590,ko01100,map00430,map00460,map00480,map00590,map01100","-","R00494,R01262,R01687,R03916,R03970,R03971,R09875","RC00064,RC00090,RC00096","ko00000,ko00001,ko01000,ko01002,ko04090","-","-","-","G_glu_transpept"
"443","Pocillopora_acuta_HIv2___RNAseq.g21627.t1",740.285196352006,6.67639053389872,4.3937305053453,7.96008013076504e-09,2.38373910996657e-07,"45351.EDO48350",0,3333,"28NU0@1|root,2QVDY@2759|Eukaryota,38CU4@33154|Opisthokonta,3BFIA@33208|Metazoa","33208|Metazoa","S","cilium movement involved in cell motility","C12orf55","GO:0000003,GO:0001539,GO:0003341,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005856,GO:0005929,GO:0005930,GO:0006928,GO:0006996,GO:0007017,GO:0007018,GO:0007276,GO:0007283,GO:0008150,GO:0009987,GO:0016043,GO:0019953,GO:0022414,GO:0022607,GO:0030030,GO:0030031,GO:0032501,GO:0032504,GO:0032838,GO:0040011,GO:0042995,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044085,GO:0044422,GO:0044424,GO:0044430,GO:0044441,GO:0044444,GO:0044446,GO:0044463,GO:0044464,GO:0044703,GO:0044782,GO:0048232,GO:0048609,GO:0048870,GO:0051179,GO:0051674,GO:0051704,GO:0060271,GO:0060285,GO:0060294,GO:0070925,GO:0071840,GO:0097014,GO:0099568,GO:0120025,GO:0120031,GO:0120036,GO:0120038","-","-","-","-","-","-","-","-","-","-","DUF4486"
"444","Pocillopora_acuta_HIv2___RNAseq.g21884.t1",182.225498377468,11.8174603908241,3.62839151011413,8.0078418445597e-09,2.39308728181222e-07,"10224.XP_006812996.1",5.94e-179,526,"COG5371@1|root,KOG1386@2759|Eukaryota,38FYH@33154|Opisthokonta,3BBAK@33208|Metazoa,3CXIC@33213|Bilateria","33208|Metazoa","F","Ectonucleoside triphosphate diphosphohydrolase","ENTPD7","GO:0000139,GO:0000421,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005773,GO:0005774,GO:0005776,GO:0005794,GO:0006139,GO:0006213,GO:0006220,GO:0006244,GO:0006256,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009132,GO:0009134,GO:0009138,GO:0009140,GO:0009141,GO:0009143,GO:0009164,GO:0009166,GO:0009185,GO:0009191,GO:0009193,GO:0009195,GO:0009199,GO:0009203,GO:0009218,GO:0009222,GO:0009259,GO:0009261,GO:0009987,GO:0012505,GO:0012506,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017110,GO:0017111,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0030139,GO:0030173,GO:0030659,GO:0030666,GO:0031090,GO:0031166,GO:0031224,GO:0031228,GO:0031300,GO:0031301,GO:0031310,GO:0031410,GO:0031982,GO:0031984,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0034656,GO:0042454,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044282,GO:0044283,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044433,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045134,GO:0046048,GO:0046131,GO:0046133,GO:0046135,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0071704,GO:0072527,GO:0072529,GO:0097636,GO:0097637,GO:0097708,GO:0098588,GO:0098791,GO:0098805,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901657,GO:1901658","3.6.1.6","ko:K12305,ko:K14643","ko00230,ko00240,ko04142,map00230,map00240,map04142","-","R00155,R00328,R00961","RC00002","ko00000,ko00001,ko01000","-","-","-","GDA1_CD39"
"445","Pocillopora_acuta_HIv2___RNAseq.g22676.t1",476.674802435943,10.7057455856685,3.2546582670638,8.39515963996121e-09,2.48827026705736e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","Pocillopora_acuta_HIv2___RNAseq.g7443.t1",443.172271713954,10.4186645634902,3.22294687693799,8.52432183057736e-09,2.52138631814869e-07,"45351.EDO37112",1.16e-96,286,"28JT2@1|root,2QS6W@2759|Eukaryota,38I0N@33154|Opisthokonta,3B9YB@33208|Metazoa","33208|Metazoa","-","-","PDDC1","-","-","-","-","-","-","-","-","-","-","-","-"
"447","Pocillopora_acuta_HIv2___RNAseq.g2173.t1",371.361882073016,10.3043787485905,3.22269542157418,8.6323264097914e-09,2.54812182022904e-07,"45351.EDO36947",1.46e-125,369,"2CXM9@1|root,2RYCY@2759|Eukaryota,38GP1@33154|Opisthokonta,3BMET@33208|Metazoa","33208|Metazoa","S","Short calmodulin-binding motif containing conserved Ile and Gln residues.","IQCK","-","-","-","-","-","-","-","-","-","-","-","IQ"
"448","Pocillopora_acuta_HIv2___RNAseq.g994.t1",1097.04685468941,6.07105113835859,4.81572164462276,8.83236326330014e-09,2.60185951609721e-07,"45351.EDO44631",1.21e-79,264,"28IFU@1|root,2QQSP@2759|Eukaryota,38FTN@33154|Opisthokonta,3BXXS@33208|Metazoa","33208|Metazoa","E","Lipoxygenase","-","-","-","-","-","-","-","-","-","-","-","-","Lipoxygenase"
"449","Pocillopora_acuta_HIv2___TS.g12453.t2",884.199820296655,-1.49900556260973,3.92325238130988,8.93397843215589e-09,2.62150705486234e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Pocillopora_acuta_HIv2___TS.g1768.t1",504.477650228987,10.8075458896987,3.31510378446183,8.93530819999401e-09,2.62150705486234e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","Pocillopora_acuta_HIv2___TS.g2144.t1",187.44216437744,12.0268982974054,3.7987505918117,9.0807173906294e-09,2.65877522951546e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Pocillopora_acuta_HIv2___RNAseq.g13716.t1",1305.77810102607,1.17674952037561,2.26848584378242,9.22959249925716e-09,2.69690557392436e-07,"45351.EDO36534",1.96e-104,342,"KOG0200@1|root,KOG0200@2759|Eukaryota","2759|Eukaryota","T","transmembrane receptor protein tyrosine kinase activity","-","-","2.7.10.1","ko:K05126","ko05200,ko05216,ko05230,map05200,map05216,map05230","-","-","-","ko00000,ko00001,ko01000,ko01001,ko01020,ko04050","-","-","-","Pkinase_Tyr"
"453","Pocillopora_acuta_HIv2___RNAseq.g18617.t1",610.494460611408,11.1096862863115,3.52049747055427,9.94604916072801e-09,2.8945604639994e-07,"45351.EDO38860",4.06e-162,479,"COG1226@1|root,2SFV4@2759|Eukaryota","2759|Eukaryota","P","Ligand-gated ion channel","-","-","-","-","-","-","-","-","-","-","-","-","EF-hand_5,Ion_trans_2"
"454","Pocillopora_acuta_HIv2___TS.g28037.t1",120.114117307913,11.4721103378421,3.51871321267501,1.00338734171246e-08,2.91425592580905e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Pocillopora_acuta_HIv2___TS.g16482.t1",595.102737753852,10.2035806135741,3.41266142039557,1.0264461722576e-08,2.97525399509697e-07,"45351.EDO32356",6.22e-259,728,"COG0733@1|root,KOG3660@2759|Eukaryota,38G22@33154|Opisthokonta,3BB0B@33208|Metazoa","33208|Metazoa","T","gamma-aminobutyric acid:sodium symporter activity","-","-","-","ko:K05039","-","-","-","-","ko00000,ko02000","2.A.22.3","-","-","SNF"
"456","Pocillopora_acuta_HIv2___TS.g12260.t1",509.973649229557,-6.91491653769028,1.93573774799341,1.0363909157579e-08,2.99759187690609e-07,"7739.XP_002592519.1",2.95e-91,291,"28J2M@1|root,2QRET@2759|Eukaryota,38F0S@33154|Opisthokonta,3BGBA@33208|Metazoa,3CU5R@33213|Bilateria,48812@7711|Chordata","33208|Metazoa","S","tyrosinase","-","-","1.14.18.1,5.3.3.12","ko:K00505,ko:K01827","ko00350,ko00950,ko00965,ko01100,ko01110,ko04916,map00350,map00950,map00965,map01100,map01110,map04916","M00042","R00731,R02078,R02363,R02383,R03673,R04693,R04884","RC00046,RC00150,RC00180,RC00971","ko00000,ko00001,ko00002,ko01000","-","-","-","Tyrosinase"
"457","Pocillopora_acuta_HIv2___TS.g1731.t1",516.555249517255,10.4023616193407,3.23273332910321,1.04443592830243e-08,3.00721575576434e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Pocillopora_acuta_HIv2___RNAseq.g1195.t1",121.864309158679,11.3571694226644,3.4368688910809,1.04578921816196e-08,3.00721575576434e-07,"45351.EDO48852",6.47e-19,86.7,"2DMK9@1|root,2S657@2759|Eukaryota,3A9TR@33154|Opisthokonta,3BU4S@33208|Metazoa","33208|Metazoa","S","Mannose-6-phosphate receptor","-","-","-","-","-","-","-","-","-","-","-","-","ATG27"
"459","Pocillopora_acuta_HIv2___RNAseq.g1932.t1",163.973548814544,11.854347140163,3.69761800836141,1.06142843891693e-08,3.04613113898699e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
