GO.cluster	IC	GO.ID	term	definition	Oral_elim.genes_frequency	Oral_elim.pvalue	Oral_elim.-log10_pvalue	Oral_elim.Significant_genes	Oral_elim.Significant_genes_symbol	Aboral_elim.genes_frequency	Aboral_elim.pvalue	Aboral_elim.-log10_pvalue	Aboral_elim.Significant_genes	Aboral_elim.Significant_genes_symbol
"4"	5.05	"GO:0001501"	"skeletal system development"	"The process whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. The skeleton is the bony framework of the body in vertebrates (endoskeleton) or the hard outer envelope of insects (exoskeleton or dermoskeleton)."	"6.25% (15/240)"	0.8069155	0.09	NA	NA	"10.833% (26/240)"	5.829474e-05	4.23	"Pocillopora_acuta_HIv2___RNAseq.10263_t;Pocillopora_acuta_HIv2___RNAseq.22092_t;Pocillopora_acuta_HIv2___RNAseq.26508_t;Pocillopora_acuta_HIv2___RNAseq.g10385.t1;Pocillopora_acuta_HIv2___RNAseq.g13857.t1;Pocillopora_acuta_HIv2___RNAseq.g14769.t1;Pocillopora_acuta_HIv2___RNAseq.g15163.t1;Pocillopora_acuta_HIv2___RNAseq.g20144.t1;Pocillopora_acuta_HIv2___RNAseq.g24896.t1;Pocillopora_acuta_HIv2___RNAseq.g26050.t1;Pocillopora_acuta_HIv2___RNAseq.g26200.t1;Pocillopora_acuta_HIv2___RNAseq.g27038.t1;Pocillopora_acuta_HIv2___RNAseq.g28196.t1;Pocillopora_acuta_HIv2___RNAseq.g28794.t1;Pocillopora_acuta_HIv2___RNAseq.g28803.t1b;Pocillopora_acuta_HIv2___RNAseq.g29895.t1;Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___TS.g1350.t1;Pocillopora_acuta_HIv2___TS.g15832.t1;Pocillopora_acuta_HIv2___TS.g23178.t1;Pocillopora_acuta_HIv2___TS.g23602.t1;Pocillopora_acuta_HIv2___TS.g30131.t1;Pocillopora_acuta_HIv2___TS.g5006.t1b;Pocillopora_acuta_HIv2___TS.g5115.t2;Pocillopora_acuta_HIv2___TS.g5338.t1"	"Extracellular sulfatase Sulf-2 (hSulf-2) (Arylsulfatase) (EC 3.1.6.1) (N-acetylglucosamine-6-sulfatase) (EC 3.1.6.14) [Cleaved into: Extracellular sulfatase Sulf-2 secreted form];Carbohydrate sulfotransferase 11 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 1) (Chondroitin 4-sulfotransferase 1) (C4S-1) (C4ST-1) (C4ST1);Signal peptide, CUB and EGF-like domain-containing protein 2 (Protein CEGP1) (Scube/You);Fibroblast growth factor receptor-like 1 (FGF receptor-like protein 1) (FGF homologous factor receptor) (FGFR-like protein) (Fibroblast growth factor receptor 5) (FGFR-5);Bone morphogenetic protein 2 (BMP-2);Fibrillin-2 [Cleaved into: Placensin];Noggin-2;Growth/differentiation factor 6 (GDF-6) (Bone morphogenetic protein 13) (BMP-13) (Growth/differentiation factor 16);Matrix metalloproteinase-16 (MMP-16) (EC 3.4.24.-) (MMP-X2) (Membrane-type matrix metalloproteinase 3) (MT-MMP 3) (MTMMP3) (Membrane-type-3 matrix metalloproteinase) (MT3-MMP) (MT3MMP);Secreted frizzled-related protein 3 (sFRP-3) (Frizzled-related protein 1) (FrzB-1);Collagen alpha-2(I) chain (Alpha-2 type I collagen);Protein Wnt-7a;Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP) (Chondroitin sulfate proteoglycan core protein 1) (Chondroitin sulfate proteoglycan 1) [Cleaved into: Aggrecan core protein 2];Collagen alpha-2(I) chain (Alpha-2 type I collagen);Collagen alpha-2(I) chain (Alpha-2 type I collagen);Heart- and neural crest derivatives-expressed protein 2 (Deciduum, heart, autonomic nervous system and neural crest derivatives-expressed protein 2) (dHAND);Homeobox protein SIX4 (Sine oculis homeobox homolog 4) (Skeletal muscle-specific ARE-binding protein AREC3);Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A);Collagen alpha-2(I) chain (Alpha-2 type I collagen);Collagen alpha-2(I) chain (Alpha-2 type I collagen);Collagen alpha-1(XXVII) chain B;Protocadherin Fat 4 (FAT tumor suppressor homolog 4) (Fat-like cadherin protein FAT-J);Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP);Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A);Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP);Collagenase 3 (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13)"
"5"	6.11	"GO:0060041"	"retina development in camera-type eye"	"The process whose specific outcome is the progression of the retina over time, from its formation to the mature structure. The retina is the innermost layer or coating at the back of the eyeball, which is sensitive to light and in which the optic nerve terminates."	"15% (15/100)"	0.007403548	2.13	"Pocillopora_acuta_HIv2___RNAseq.22067_t;Pocillopora_acuta_HIv2___RNAseq.26564_t;Pocillopora_acuta_HIv2___RNAseq.g11960.t1;Pocillopora_acuta_HIv2___RNAseq.g13060.t1;Pocillopora_acuta_HIv2___RNAseq.g13533.t1;Pocillopora_acuta_HIv2___RNAseq.g13970.t2;Pocillopora_acuta_HIv2___RNAseq.g22366.t1;Pocillopora_acuta_HIv2___RNAseq.g25248.t1a;Pocillopora_acuta_HIv2___RNAseq.g27673.t1;Pocillopora_acuta_HIv2___RNAseq.g27978.t1;Pocillopora_acuta_HIv2___RNAseq.g3580.t1;Pocillopora_acuta_HIv2___RNAseq.g8004.t1;Pocillopora_acuta_HIv2___RNAseq.g8093.t1;Pocillopora_acuta_HIv2___TS.g15672.t1;Pocillopora_acuta_HIv2___TS.g19999.t1"	"Protein Wnt-2b;Transcription factor AP-2-alpha (AP2-alpha) (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2) (AP-2);Trafficking protein particle complex subunit 11 (Protein foie gras);Low-density lipoprotein receptor-related protein 6 (LRP-6);Protein sidekick-2;Tetratricopeptide repeat protein 8 (TPR repeat protein 8) (Bardet-Biedl syndrome 8 protein);Neuronal migration protein doublecortin (Doublin) (Lissencephalin-X) (Lis-X);U4/U6 small nuclear ribonucleoprotein Prp31 (Pre-mRNA-processing factor 31);Paired box protein Pax-6 (Oculorhombin);Plasma membrane calcium-transporting ATPase 4 (PMCA4) (EC 7.2.2.10) (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4);Pancreas transcription factor 1 subunit alpha (Pancreas-specific transcription factor 1a) (bHLH transcription factor p48);Dysbindin (Biogenesis of lysosome-related organelles complex 1 subunit 8) (BLOC-1 subunit 8) (Dysbindin-1) (Dystrobrevin-binding protein 1) (Hermansky-Pudlak syndrome 7 protein) (HPS7 protein);Chromodomain-helicase-DNA-binding protein 7 (CHD-7) (EC 3.6.4.-) (ATP-dependent helicase CHD7);Low-density lipoprotein receptor-related protein 5 (LRP-5) (Low-density lipoprotein receptor-related protein 7) (LRP-7);Retinal homeobox protein Rx2"	"5% (5/100)"	0.2559323	0.59	NA	NA
"5"	7.42	"GO:0002088"	"lens development in camera-type eye"	"The process whose specific outcome is the progression of the lens over time, from its formation to the mature structure. The lens is a transparent structure in the eye through which light is focused onto the retina. An example of this process is found in Mus musculus."	"22.857% (8/35)"	0.003706427	2.43	"Pocillopora_acuta_HIv2___RNAseq.22067_t;Pocillopora_acuta_HIv2___RNAseq.26564_t;Pocillopora_acuta_HIv2___RNAseq.g11345.t1;Pocillopora_acuta_HIv2___RNAseq.g27673.t1;Pocillopora_acuta_HIv2___RNAseq.g2995.t1;Pocillopora_acuta_HIv2___RNAseq.g3743.t1;Pocillopora_acuta_HIv2___RNAseq.g7553.t1;Pocillopora_acuta_HIv2___TS.g9752.t3"	"Protein Wnt-2b;Transcription factor AP-2-alpha (AP2-alpha) (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2) (AP-2);Tropomodulin-1 (Erythrocyte tropomodulin) (E-Tmod);Paired box protein Pax-6 (Oculorhombin);Transcription factor HES-4-A (Hairy and enhancer of split 4-A) (Protein hairy-2) (Xhairy2) (Protein hairy-2a) (Xhairy2a);Protein sprouty homolog 2 (Spry-2);Protocadherin Fat 1 (Cadherin family member 7) (Cadherin-related tumor suppressor homolog) (Protein fat homolog) [Cleaved into: Protocadherin Fat 1, nuclear form];Protocadherin Fat 1 (Cadherin family member 7) (Cadherin-related tumor suppressor homolog) (Protein fat homolog) [Cleaved into: Protocadherin Fat 1, nuclear form]"	"2.857% (1/35)"	0.7042085	0.15	NA	NA
"5"	7.72	"GO:0048596"	"embryonic camera-type eye morphogenesis"	"The process in which the anatomical structures of the eye are generated and organized during embryonic development."	"24% (6/25)"	0.009039169	2.04	"Pocillopora_acuta_HIv2___RNAseq.22067_t;Pocillopora_acuta_HIv2___RNAseq.26564_t;Pocillopora_acuta_HIv2___RNAseq.g13060.t1;Pocillopora_acuta_HIv2___RNAseq.g27673.t1;Pocillopora_acuta_HIv2___RNAseq.g28466.t1;Pocillopora_acuta_HIv2___RNAseq.g3837.t1a"	"Protein Wnt-2b;Transcription factor AP-2-alpha (AP2-alpha) (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2) (AP-2);Low-density lipoprotein receptor-related protein 6 (LRP-6);Paired box protein Pax-6 (Oculorhombin);Ephrin-B2a;Paired box protein Pax-2a (No isthmus protein) (Pax[Zf-b])"	"20% (5/25)"	0.1457184	0.84	NA	NA
"5"	9.45	"GO:0060898"	"eye field cell fate commitment involved in camera-type eye formation"	"The commitment of neurectodermal cells to cells of the eye field and their capacity to differentiate into eye field cells. Eye field cells are neurectodermal cells that will form the optic placode."	"0% (0/5)"	1	0	NA	NA	"60% (3/5)"	0.000374744	3.43	"Pocillopora_acuta_HIv2___RNAseq.g27039.t1;Pocillopora_acuta_HIv2___TS.g18100.t1;Pocillopora_acuta_HIv2___TS.g18104.t1"	"Protein Wnt-8b;Protein Wnt-8b;Protein Wnt-8b"
"5"	9.45	"GO:0071699"	"olfactory placode morphogenesis"	"The process in which the anatomical structures of the olfactory placode are generated and organized. The olfactory placode is a thickening of the neural ectoderm in the head region of the vertebrate embryo which develops into the olfactory region of the nasal cavity."	"0% (0/5)"	1	0	NA	NA	"60% (3/5)"	0.000374744	3.43	"Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"Homeobox protein SIX4 (Sine oculis homeobox homolog 4) (Skeletal muscle-specific ARE-binding protein AREC3);Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A);Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A)"
"5"	8.86	"GO:0010172"	"embryonic body morphogenesis"	"The process in which the anatomical structures of the embryonic soma are generated and organized."	"44.444% (4/9)"	0.002926368	2.53	"Pocillopora_acuta_HIv2___RNAseq.26564_t;Pocillopora_acuta_HIv2___RNAseq.g17085.t1;Pocillopora_acuta_HIv2___RNAseq.g17089.t1;Pocillopora_acuta_HIv2___RNAseq.g17090.t1"	"Transcription factor AP-2-alpha (AP2-alpha) (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2) (AP-2);Peroxidasin homolog pxn-2 (EC 1.11.2.-);Peroxidasin homolog pxn-2 (EC 1.11.2.-);Peroxidasin homolog pxn-2 (EC 1.11.2.-)"	"0% (0/9)"	1	0	NA	NA
"5"	4.45	"GO:0048598"	"embryonic morphogenesis"	"The process in which anatomical structures are generated and organized during the embryonic phase. The embryonic phase begins with zygote formation. The end of the embryonic phase is organism-specific. For example, it would be at birth for mammals, larval hatching for insects and seed dormancy in plants."	"9.596% (38/396)"	0.3714951	0.43	NA	NA	"7.323% (29/396)"	0.00507524	2.29	"Pocillopora_acuta_HIv2___RNAseq.22092_t;Pocillopora_acuta_HIv2___RNAseq.7335_t;Pocillopora_acuta_HIv2___RNAseq.g14769.t1;Pocillopora_acuta_HIv2___RNAseq.g17508.t1b;Pocillopora_acuta_HIv2___RNAseq.g22638.t1;Pocillopora_acuta_HIv2___RNAseq.g23886.t1;Pocillopora_acuta_HIv2___RNAseq.g24896.t1;Pocillopora_acuta_HIv2___RNAseq.g26050.t1;Pocillopora_acuta_HIv2___RNAseq.g27038.t1;Pocillopora_acuta_HIv2___RNAseq.g27039.t1;Pocillopora_acuta_HIv2___RNAseq.g27047.t1;Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___RNAseq.g29895.t1;Pocillopora_acuta_HIv2___RNAseq.g3088.t1;Pocillopora_acuta_HIv2___RNAseq.g562.t1;Pocillopora_acuta_HIv2___RNAseq.g565.t1;Pocillopora_acuta_HIv2___RNAseq.g5896.t1;Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___RNAseq.g8914.t1;Pocillopora_acuta_HIv2___RNAseq.g8916.t1;Pocillopora_acuta_HIv2___RNAseq.g942.t1;Pocillopora_acuta_HIv2___RNAseq.g9589.t2;Pocillopora_acuta_HIv2___TS.g11002.t4;Pocillopora_acuta_HIv2___TS.g18100.t1;Pocillopora_acuta_HIv2___TS.g18104.t1;Pocillopora_acuta_HIv2___TS.g23178.t1;Pocillopora_acuta_HIv2___TS.g5006.t1b;Pocillopora_acuta_HIv2___TS.g568.t1"	"Carbohydrate sulfotransferase 11 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 1) (Chondroitin 4-sulfotransferase 1) (C4S-1) (C4ST-1) (C4ST1);Nodal homolog (Nodal-related protein 1) (Xnr-1) (Xnr1) (nr-1);Fibrillin-2 [Cleaved into: Placensin];Collagen triple helix repeat-containing protein 1;Collagen alpha-1(IV) chain (Collagen type IV alpha 1);Laminin subunit beta-1 (Laminin B1 chain) (Laminin-1 subunit beta) (Laminin-10 subunit beta) (Laminin-12 subunit beta) (Laminin-2 subunit beta) (Laminin-6 subunit beta) (Laminin-8 subunit beta);Matrix metalloproteinase-16 (MMP-16) (EC 3.4.24.-) (MMP-X2) (Membrane-type matrix metalloproteinase 3) (MT-MMP 3) (MTMMP3) (Membrane-type-3 matrix metalloproteinase) (MT3-MMP) (MT3MMP);Secreted frizzled-related protein 3 (sFRP-3) (Frizzled-related protein 1) (FrzB-1);Protein Wnt-7a;Protein Wnt-8b;Protein Wnt-8a;Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Heart- and neural crest derivatives-expressed protein 2 (Deciduum, heart, autonomic nervous system and neural crest derivatives-expressed protein 2) (dHAND);Nephrocystin-3;Frizzled-5 (Fz-5);Frizzled-5 (Fz-5) (hFz5) (FzE5);Probable N-acetyltransferase camello (EC 2.3.1.-) (Xcml);Homeobox protein SIX4 (Sine oculis homeobox homolog 4) (Skeletal muscle-specific ARE-binding protein AREC3);Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A);Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7);Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7);Homeobox protein Nkx-2.2a (Homeobox protein NK-2 homolog B-A);Homeobox protein OTX1 B (zOtx1) (Orthodenticle homolog 1 B);Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Protein Wnt-8b;Protein Wnt-8b;Collagen alpha-1(XXVII) chain B;Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A);Kinesin-like protein KIF3A (Microtubule plus end-directed kinesin motor 3A)"
"5"	7.62	"GO:0000578"	"embryonic axis specification"	"The establishment, maintenance and elaboration of a pattern along a line or a point in an embryo."	"0% (0/25)"	1	0	NA	NA	"16% (4/25)"	0.009568449	2.02	"Pocillopora_acuta_HIv2___RNAseq.g27038.t1;Pocillopora_acuta_HIv2___RNAseq.g27047.t1;Pocillopora_acuta_HIv2___RNAseq.g562.t1;Pocillopora_acuta_HIv2___RNAseq.g565.t1"	"Protein Wnt-7a;Protein Wnt-8a;Frizzled-5 (Fz-5);Frizzled-5 (Fz-5) (hFz5) (FzE5)"
"5"	8.35	"GO:0007447"	"imaginal disc pattern formation"	"The regionalization process that results in defined areas of the imaginal disc that will undergo specific cell differentaiton. Imaginal discs are epithelial infoldings in the larvae of holometabolous insects that develop into adult appendages (legs, antennae, wings, etc.) during metamorphosis from larval to adult form."	"9.091% (1/11)"	0.5764849	0.24	NA	NA	"27.273% (3/11)"	0.005305699	2.28	"Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___TS.g11002.t4;Pocillopora_acuta_HIv2___TS.g30706.t1"	"Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Cadherin-related tumor suppressor (Protein fat) [Cleaved into: Ft-mito]"
"5"	6.48	"GO:0009953"	"dorsal/ventral pattern formation"	"The regionalization process in which the areas along the dorsal/ventral axis are established that will lead to differences in cell differentiation. The dorsal/ventral axis is defined by a line that runs orthogonal to both the anterior/posterior and left/right axes. The dorsal end is defined by the upper or back side of an organism. The ventral end is defined by the lower or front side of an organism."	"6.757% (5/74)"	0.661555	0.18	NA	NA	"17.568% (13/74)"	1.078623e-06	5.97	"Pocillopora_acuta_HIv2___RNAseq.g15163.t1;Pocillopora_acuta_HIv2___RNAseq.g22527.t1;Pocillopora_acuta_HIv2___RNAseq.g27038.t1;Pocillopora_acuta_HIv2___RNAseq.g27047.t1;Pocillopora_acuta_HIv2___RNAseq.g27337.t1;Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___RNAseq.g5138.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___RNAseq.g8914.t1;Pocillopora_acuta_HIv2___RNAseq.g8916.t1;Pocillopora_acuta_HIv2___TS.g11002.t4;Pocillopora_acuta_HIv2___TS.g5006.t1b;Pocillopora_acuta_HIv2___TS.g568.t1"	"Noggin-2;Tolloid-like protein 1 (EC 3.4.24.-) (Chicken tolloid-like protein 1) (Metalloprotease colloid);Protein Wnt-7a;Protein Wnt-8a;Transcription factor HES-4 (Hairy and enhancer of split 4) (Protein hairy-2);Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Iroquois-class homeodomain protein irx-4-A (Iroquois homeobox protein 4-A);Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A);Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7);Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7);Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A);Kinesin-like protein KIF3A (Microtubule plus end-directed kinesin motor 3A)"
"5"	8.49	"GO:0009954"	"proximal/distal pattern formation"	"The regionalization process in which specific areas of cell differentiation are determined along a proximal/distal axis. The proximal/distal axis is defined by a line that runs from main body (proximal end) of an organism outward (distal end)."	"8.333% (1/12)"	0.6083251	0.22	NA	NA	"25% (3/12)"	0.006897149	2.16	"Pocillopora_acuta_HIv2___RNAseq.g5138.t1;Pocillopora_acuta_HIv2___RNAseq.g8914.t1;Pocillopora_acuta_HIv2___RNAseq.g8916.t1"	"Iroquois-class homeodomain protein irx-4-A (Iroquois homeobox protein 4-A);Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7);Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)"
"5"	9.45	"GO:0003129"	"heart induction"	"The close range interaction between mesoderm and endoderm or ectoderm that causes cells to change their fates and specify the development of the heart."	"0% (0/5)"	1	0	NA	NA	"60% (3/5)"	0.000374744	3.43	"Pocillopora_acuta_HIv2___RNAseq.g29143.t2;Pocillopora_acuta_HIv2___RNAseq.g5181.t1;Pocillopora_acuta_HIv2___RNAseq.g682.t1"	"Roundabout homolog 2;Roundabout homolog 2;Roundabout homolog 1"
"5"	8.66	"GO:0033339"	"pectoral fin development"	"The process whose specific outcome is the progression of the pectoral fin over time, from its formation to the mature structure."	"9.091% (1/11)"	0.5764849	0.24	NA	NA	"27.273% (3/11)"	0.005305699	2.28	"Pocillopora_acuta_HIv2___RNAseq.g29895.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"Heart- and neural crest derivatives-expressed protein 2 (Deciduum, heart, autonomic nervous system and neural crest derivatives-expressed protein 2) (dHAND);Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A);Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A)"
"5"	7.5	"GO:0002164"	"larval development"	"The process whose specific outcome is the progression of the larva over time, from its formation to the mature structure. The larva is the early, immature form of an that at birth or hatching is fundamentally unlike its parent and must metamorphose before assuming the adult characters."	"7.692% (2/26)"	0.5916205	0.23	NA	NA	"23.077% (6/26)"	0.0001952456	3.71	"Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___RNAseq.g28575.t1a;Pocillopora_acuta_HIv2___RNAseq.g28577.t1;Pocillopora_acuta_HIv2___RNAseq.g3509.t1;Pocillopora_acuta_HIv2___TS.g11002.t4;Pocillopora_acuta_HIv2___TS.g30706.t1"	"Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Chitin synthase chs-2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase chs-2);Chitin synthase chs-2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase chs-2);E3 ubiquitin-protein ligase hecd-1 (EC 2.3.2.26);Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Cadherin-related tumor suppressor (Protein fat) [Cleaved into: Ft-mito]"
"5"	9.45	"GO:0048582"	"positive regulation of post-embryonic development"	"Any process that activates or increases the frequency, rate or extent of post-embryonic development. Post-embryonic development is defined as the process whose specific outcome is the progression of the organism over time, from the completion of embryonic development to the mature structure."	"0% (0/5)"	1	0	NA	NA	"60% (3/5)"	0.000374744	3.43	"Pocillopora_acuta_HIv2___RNAseq.g2110.t1;Pocillopora_acuta_HIv2___RNAseq.g28575.t1a;Pocillopora_acuta_HIv2___RNAseq.g28577.t1"	"Arginine-specific demethylase JMJ22 (EC 1.14.11.-) (Arginine-specific histone demethylase JMJ22) (F-box protein JMJ22) (Jumonji domain-containing protein 22) (AtJMJ22) (Protein JUMONJI 22) ([histone H4]-dimethyl-L-arginine(3) monodemethylase JMJ22);Chitin synthase chs-2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase chs-2);Chitin synthase chs-2 (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase chs-2)"
"6"	7.59	"GO:0051965"	"positive regulation of synapse assembly"	"Any process that activates, maintains or increases the frequency, rate or extent of synapse assembly, the aggregation, arrangement and bonding together of a set of components to form a synapse."	"0% (0/31)"	1	0	NA	NA	"19.355% (6/31)"	0.0005406648	3.27	"Pocillopora_acuta_HIv2___RNAseq.g24688.t1;Pocillopora_acuta_HIv2___RNAseq.g27038.t1;Pocillopora_acuta_HIv2___RNAseq.g9253.t1;Pocillopora_acuta_HIv2___TS.g18622.t1b;Pocillopora_acuta_HIv2___TS.g30914.t1;Pocillopora_acuta_HIv2___TS.g3265.t1"	"Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha);Protein Wnt-7a;Receptor-type tyrosine-protein phosphatase delta (Protein-tyrosine phosphatase delta) (R-PTP-delta) (EC 3.1.3.48);Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)];Receptor-type tyrosine-protein phosphatase delta (Protein-tyrosine phosphatase delta) (R-PTP-delta) (EC 3.1.3.48);Receptor-type tyrosine-protein phosphatase delta (Protein-tyrosine phosphatase delta) (R-PTP-delta) (EC 3.1.3.48)"
"6"	6.26	"GO:0051963"	"regulation of synapse assembly"	"Any process that modulates the frequency, rate or extent of synapse assembly, the aggregation, arrangement and bonding together of a set of components to form a synapse."	"4.673% (5/107)"	0.9122188	0.04	NA	NA	"12.15% (13/107)"	0.008264319	2.08	"Pocillopora_acuta_HIv2___RNAseq.673_t;Pocillopora_acuta_HIv2___RNAseq.g24688.t1;Pocillopora_acuta_HIv2___RNAseq.g27038.t1;Pocillopora_acuta_HIv2___RNAseq.g29143.t2;Pocillopora_acuta_HIv2___RNAseq.g5181.t1;Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g682.t1;Pocillopora_acuta_HIv2___RNAseq.g8914.t1;Pocillopora_acuta_HIv2___RNAseq.g8916.t1;Pocillopora_acuta_HIv2___RNAseq.g9253.t1;Pocillopora_acuta_HIv2___TS.g18622.t1b;Pocillopora_acuta_HIv2___TS.g30914.t1;Pocillopora_acuta_HIv2___TS.g3265.t1"	"LHFPL tetraspan subfamily member 4 protein (Lipoma HMGIC fusion partner-like 4 protein);Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha);Protein Wnt-7a;Roundabout homolog 2;Roundabout homolog 2;Homeobox protein SIX4 (Sine oculis homeobox homolog 4) (Skeletal muscle-specific ARE-binding protein AREC3);Roundabout homolog 1;Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7);Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7);Receptor-type tyrosine-protein phosphatase delta (Protein-tyrosine phosphatase delta) (R-PTP-delta) (EC 3.1.3.48);Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)];Receptor-type tyrosine-protein phosphatase delta (Protein-tyrosine phosphatase delta) (R-PTP-delta) (EC 3.1.3.48);Receptor-type tyrosine-protein phosphatase delta (Protein-tyrosine phosphatase delta) (R-PTP-delta) (EC 3.1.3.48)"
