"","hit_name","NonDE_Oral","DE_Oral","Background","p_value_Oral","padj_Oral","DE_ratio_Oral","Background_ratio_Oral","enrichment_ratio_Oral","NonDE_Aboral","DE_Aboral","p_value_Aboral","padj_Aboral","DE_ratio_Aboral","Background_ratio_Aboral","enrichment_ratio_Aboral","nonDE_Oral","nonDE_Aboral"
"145","MTHFR, SAM-binding regulatory domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"146","Meiosis protein SPO22/ZIP4 like",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"147","Membrane protein FAM174-like",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"148","Mesoderm induction early response protein 1/3 C-terminal",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"149","Methylenetetrahydrofolate reductase",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"150","Microtubule-binding stalk of dynein motor",12,4,16,0.0323399375495732,0.232550990872628,0.00471698113207547,0.00148547024417417,3.17541273584906,NA,0,NA,1,0,NA,0,12,12
"151","Mitochondrial inner membrane protein",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"152","Mitochondrial large subunit ribosomal protein (Img2)",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"153","Mitochondrial ribosomal death-associated protein 3",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"154","Mitotic checkpoint regulator, MAD2B-interacting",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"155","Modulator of levamisole receptor-1",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"156","MoeA C-terminal region (domain IV)",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"157","MoeA N-terminal region (domain I and II)",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"158","Multi-copper polyphenol oxidoreductase laccase",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"159","NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"160","NOP protein chaperone 1",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"161","Neurensin/Transmembrane protein 74",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"162","Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"163","Nicotinate phosphoribosyltransferase C-terminal domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"164","Nine Cysteines Domain of family 3 GPCR",3,2,5,0.0527490456052243,0.232550990872628,0.00235849056603774,0.000464209451304429,5.08066037735849,NA,0,NA,1,0,NA,0,3,3
"165","Nitric oxide synthase, oxygenase domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"166","Nrf1 activator activation site binding domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"167","P-loop containing dynein motor region",13,4,17,0.0397321086721156,0.232550990872628,0.00471698113207547,0.00157831213443506,2.98862375138735,NA,0,NA,1,0,NA,0,13,13
"168","P-loop containing dynein motor region D4",13,4,17,0.0397321086721156,0.232550990872628,0.00471698113207547,0.00157831213443506,2.98862375138735,NA,0,NA,1,0,NA,0,13,13
"169","PCDH15-like domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"170","PEA3 subfamily ETS-domain transcription factor N terminal domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"171","PIGBOS1-like",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"172","PLAT/LH2 domain",22,5,27,0.0566334020047233,0.232550990872628,0.00589622641509434,0.00250673103704391,2.35215758211041,NA,0,NA,1,0,NA,0,22,22
"173","PR domain zinc finger protein 2, PR domain",7,3,10,0.038385666625469,0.232550990872628,0.0035377358490566,0.000928418902608857,3.81049528301887,NA,0,NA,1,0,NA,0,7,7
"174","PUA-like domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"175","Peptidase M16C associated",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"176","Peptidase family M13",8,3,11,0.0497667178120036,0.232550990872628,0.0035377358490566,0.00102126079286974,3.46408662092624,NA,0,NA,1,0,NA,0,8,8
"177","Permease family",1,2,3,0.0176021784773774,0.232550990872628,0.00235849056603774,0.000278525670782657,8.46776729559748,NA,0,NA,1,0,NA,0,1,1
"178","Phophatidylserine decarboxylase",1,2,3,0.0176021784773774,0.232550990872628,0.00235849056603774,0.000278525670782657,8.46776729559748,NA,0,NA,1,0,NA,0,1,1
"179","Phosphatidylserine decarboxylase",3,2,5,0.0527490456052243,0.232550990872628,0.00235849056603774,0.000464209451304429,5.08066037735849,NA,0,NA,1,0,NA,0,3,3
"180","Phosphofructokinase",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"181","Phosphoglucose isomerase",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"182","Polycystin cation channel",11,4,15,0.0258223282928239,0.232550990872628,0.00471698113207547,0.00139262835391329,3.38710691823899,NA,0,NA,1,0,NA,0,11,11
"183","Polycystin domain",7,3,10,0.038385666625469,0.232550990872628,0.0035377358490566,0.000928418902608857,3.81049528301887,NA,0,NA,1,0,NA,0,7,7
"184","Possible lysine decarboxylase",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"185","Pou domain - N-terminal to homeobox domain",2,2,4,0.0333732273777953,0.232550990872628,0.00235849056603774,0.000371367561043543,6.35082547169811,3,1,0.132842529964123,0.223618258772941,0.0026525198938992,0.000371367561043543,7.14257294429708,1,1
"186","PreP C-terminal domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"187","Proteasome activator complex subunit 4, mid HEAT repeats region",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"188","Proteasome activator complex subunit 4-like, C-terminal",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"189","Proteasome activator complex subunit 4-like, HEAT repeat-like",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"190","Protein arginine N-methyltransferase 3, C2H2 zinc finger domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"191","Protein of unknown function (DUF3719)",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"192","Prp31 C terminal domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"193","Pus10, C-terminal",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"194","Putative serine dehydratase domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"195","RFX DNA-binding domain",2,2,4,0.0333732273777953,0.232550990872628,0.00235849056603774,0.000371367561043543,6.35082547169811,NA,0,NA,1,0,NA,0,2,2
"196","RFX5 N-terminal domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"197","RNB domain",7,3,10,0.038385666625469,0.232550990872628,0.0035377358490566,0.000928418902608857,3.81049528301887,NA,0,NA,1,0,NA,0,7,7
"198","Receptor family ligand binding region",24,6,30,0.0271397660540139,0.232550990872628,0.00707547169811321,0.00278525670782657,2.54033018867925,NA,0,NA,1,0,NA,0,24,24
"199","Receptor-type tyrosine-protein phosphatase U Fn3 domain",2,2,4,0.0333732273777953,0.232550990872628,0.00235849056603774,0.000371367561043543,6.35082547169811,NA,0,NA,1,0,NA,0,2,2
"200","Regulator of volume decrease after cellular swelling",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"201","Regulatory factor X-associated C-terminal binding domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"202","Replication factor C subunit 3, C-terminal domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"203","Retinal tissue protein",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"204","Ribonuclease 2-5A",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"205","Ribose 5-phosphate isomerase A (phosphoriboisomerase A)",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"206","Ribosomal silencing factor during starvation",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"207","Ribosome biogenesis protein C1orf109-like",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"208","Ribulose-phosphate 3 epimerase family",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"209","Rio2, N-terminal",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"210","SNO glutamine amidotransferase family",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"211","SOCS box",5,3,8,0.0201651291644994,0.232550990872628,0.0035377358490566,0.000742735122087086,4.76311910377358,NA,0,NA,1,0,NA,0,5,5
"212","SOR/SNZ family",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"213","SOX transcription factor",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"214","Sen15 protein",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"215","Signal recognition particle 14kD protein",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"216","Sodium:dicarboxylate symporter family",3,2,5,0.0527490456052243,0.232550990872628,0.00235849056603774,0.000464209451304429,5.08066037735849,NA,0,NA,1,0,NA,0,3,3
"217","Sodium:neurotransmitter symporter family",10,4,14,0.0201642649219123,0.232550990872628,0.00471698113207547,0.0012997864636524,3.62904312668464,13,1,0.392927703788271,0.457911900953254,0.0026525198938992,0.0012997864636524,2.04073512694202,9,9
"218","Spectrin repeat",13,4,17,0.0397321086721156,0.232550990872628,0.00471698113207547,0.00157831213443506,2.98862375138735,NA,0,NA,1,0,NA,0,13,13
"219","TEA/ATTS domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"220","TIR domain",25,6,31,0.031487606419295,0.232550990872628,0.00707547169811321,0.00287809859808746,2.45838405356056,30,1,0.669138734823745,0.721526820824181,0.0026525198938992,0.00287809859808746,0.921622315393172,24,24
"221","TMEM117 protein family",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"222","TUTase nucleotidyltransferase domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"223","Targeting protein for Xklp2 (TPX2) domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"224","Telomere regulation protein Stn1",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"225","Thrombospondin type 1 domain",51,9,60,0.0438581776532167,0.232550990872628,0.0106132075471698,0.00557051341565314,1.90524764150943,48,12,8.69868681533188e-07,2.1964184208713e-05,0.0318302387267905,0.00557051341565314,5.71405835543767,39,39
"226","TopBP1, BRCT0 domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"227","Translocase of the Inner Mitochondrial membrane 29",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"228","Tropomodulin",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"229","Trypsin Inhibitor like cysteine rich domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"230","Tyrosine-protein kinase ephrin type A/B receptor-like",14,4,18,0.0480038419076874,0.232550990872628,0.00471698113207547,0.00167115402469594,2.8225890985325,17,1,0.473672146376852,0.537538053753507,0.0026525198938992,0.00167115402469594,1.58723843206602,13,13
"231","UvrD-like helicase C-terminal domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"232","Vacuolar protein sorting-associated protein 62",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"233","Villin headpiece domain",4,2,6,0.0750656112767939,0.232550990872628,0.00235849056603774,0.000557051341565314,4.23388364779874,NA,0,NA,1,0,NA,0,4,4
"234","XPG domain containing",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"235","YAP binding domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"236","Zinc finger HIT domain-containing protein 3, C-terminal domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"237","Zinc finger, C2H2 type",13,4,17,0.0397321086721156,0.232550990872628,0.00471698113207547,0.00157831213443506,2.98862375138735,NA,0,NA,1,0,NA,0,13,13
"238","beta-glucosidase 2, glycosyl-hydrolase family 116 N-term",2,2,4,0.0333732273777953,0.232550990872628,0.00235849056603774,0.000371367561043543,6.35082547169811,NA,0,NA,1,0,NA,0,2,2
"239","EF-hand domain pair",87,12,99,0.0879087952018832,0.258576916430644,0.0141509433962264,0.00919134713582768,1.539594053745,98,1,0.971092989151629,0.973301010278116,0.0026525198938992,0.00919134713582768,0.288588805830185,86,86
"240","MAM domain, meprin/A5/mu",18,4,22,0.0896774845710273,0.262680298555967,0.00471698113207547,0.00204252158573949,2.3093910806175,18,4,0.00655143044394669,0.0360924259002881,0.0106100795755968,0.00204252158573949,5.19459850494333,14,14
"241","Aminotransferase class I and II",11,3,14,0.0921924160235649,0.266713038948832,0.0035377358490566,0.0012997864636524,2.72178234501348,NA,0,NA,1,0,NA,0,11,11
"242","DOMON domain",11,3,14,0.0921924160235649,0.266713038948832,0.0035377358490566,0.0012997864636524,2.72178234501348,13,1,0.392927703788271,0.457911900953254,0.0026525198938992,0.0012997864636524,2.04073512694202,10,10
"243","ShK domain-like",11,3,14,0.0921924160235649,0.266713038948832,0.0035377358490566,0.0012997864636524,2.72178234501348,12,2,0.084274628033959,0.17982543869218,0.00530503978779841,0.0012997864636524,4.08147025388405,9,9
"244","Major Facilitator Superfamily",43,7,50,0.0950452967088286,0.273839522894699,0.00825471698113208,0.00464209451304429,1.77823113207547,48,2,0.52672323829497,0.584604912832879,0.00530503978779841,0.00464209451304429,1.14281167108753,41,41
"245","Anoctamin, dimerisation domain",5,2,7,0.0997409125192984,0.279354029884728,0.00235849056603774,0.0006498932318262,3.62904312668464,NA,0,NA,1,0,NA,0,5,5
"246","HEPN domain",5,2,7,0.0997409125192984,0.279354029884728,0.00235849056603774,0.0006498932318262,3.62904312668464,NA,0,NA,1,0,NA,0,5,5
"247","MCM AAA-lid domain",5,2,7,0.0997409125192984,0.279354029884728,0.00235849056603774,0.0006498932318262,3.62904312668464,NA,0,NA,1,0,NA,0,5,5
"248","MCM OB domain",5,2,7,0.0997409125192984,0.279354029884728,0.00235849056603774,0.0006498932318262,3.62904312668464,NA,0,NA,1,0,NA,0,5,5
"249","MCM P-loop domain",5,2,7,0.0997409125192984,0.279354029884728,0.00235849056603774,0.0006498932318262,3.62904312668464,NA,0,NA,1,0,NA,0,5,5
"250","Sodium/calcium exchanger protein",5,2,7,0.0997409125192984,0.279354029884728,0.00235849056603774,0.0006498932318262,3.62904312668464,NA,0,NA,1,0,NA,0,5,5
"251","Transferrin",5,2,7,0.0997409125192984,0.279354029884728,0.00235849056603774,0.0006498932318262,3.62904312668464,4,3,0.0013404442480396,0.00944545598037208,0.00795755968169761,0.0006498932318262,12.2444107616521,2,2
"252","Chondroitin N-acetylgalactosaminyltransferase",12,3,15,0.10878493795625,0.303475441997,0.0035377358490566,0.00139262835391329,2.54033018867925,NA,0,NA,1,0,NA,0,12,12
"253","AAA domain",37,6,43,0.118724093369278,0.321273505536609,0.00707547169811321,0.00399220128121809,1.77232338745064,42,1,0.784561475612322,0.816914526153036,0.0026525198938992,0.00399220128121809,0.66442539016717,36,36
"254","ADAM10, cysteine-rich domain",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"255","ADP-ribosyl cyclase",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"256","ARMC5",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"257","ATP dependent DNA ligase C terminal region",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"258","ATP dependent DNA ligase domain",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"259","Adenosylmethionine decarboxylase",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"260","Alanine racemase, N-terminal domain",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"261","Alpha/beta hydrolase domain",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"262","Alpha/beta hydrolase family",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"263","Amino acid kinase family",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"264","Ankyrin repeats (many copies)",29,5,34,0.125150994518949,0.321273505536609,0.00589622641509434,0.00315662426887011,1.86788984461709,32,2,0.335066544950702,0.423021513000262,0.00530503978779841,0.00315662426887011,1.68060539865814,27,27
"265","Asparagine synthase",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"266","BTB/POZ domain",77,10,87,0.145011163014238,0.321273505536609,0.0117924528301887,0.00807724445269706,1.45995987855129,85,2,0.813922433901164,0.833170599567746,0.00530503978779841,0.00807724445269706,0.656788316716973,75,75
"267","C8 domain",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"268","Carbamoyl-phosphate synthase small chain, CPSase domain",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"269","Carbamoyl-phosphate synthetase large chain, oligomerisation domain",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"270","Centrosomal protein CEP104-like, TOG domain",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"271","Ceramidase",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"272","Cyclic nucleotide-binding domain",14,3,17,0.14500337401571,0.321273505536609,0.0035377358490566,0.00157831213443506,2.24146781354051,16,1,0.454550473367704,0.521699975115206,0.0026525198938992,0.00157831213443506,1.68060539865814,13,13
"273","DNA helicase Pif1, 2B domain",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"274","DNA ligase N terminus",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"275","Domain of unknown function (DUF4698)",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"276","Domain of unknown function (DUF4735)",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"277","Endosomal/lysosomal potassium channel TMEM175",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"278","Enolase, C-terminal TIM barrel domain",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"279","Enoyl-CoA hydratase/isomerase",14,3,17,0.14500337401571,0.321273505536609,0.0035377358490566,0.00157831213443506,2.24146781354051,NA,0,NA,1,0,NA,0,14,14
"280","Flagellar C1a complex subunit C1a-32",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"281","Glu/Leu/Phe/Val dehydrogenase, dimerisation domain",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"282","Glutamate/Leucine/Phenylalanine/Valine dehydrogenase",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"283","Guanylate-binding protein, N-terminal domain",6,2,8,0.126266173637565,0.321273505536609,0.00235849056603774,0.000742735122087086,3.17541273584906,NA,0,NA,1,0,NA,0,6,6
"284","HhH-GPD superfamily base excision DNA repair protein",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"285","Hydroxymethylglutaryl-coenzyme A reductase",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"286","Intermediate filament protein",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"287","KCTD8/12/16 H1 domain",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"288","Lamin Tail Domain",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"289","Lysophospholipase catalytic domain",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"290","Major Vault Protein Repeat domain",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"291","Major Vault Protein repeat domain",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"292","Myc amino-terminal region",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"293","Myosin-X FERM PH domain-like",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
"294","Neuropathy Target Esterase family P-loop like domain",1,1,2,0.151268179705004,0.321273505536609,0.00117924528301887,0.000185683780521771,6.35082547169811,NA,0,NA,1,0,NA,0,1,1
